[Test 4] Epoch 0 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 1.0000
[Test 4] Epoch 1 | WIN | Score: 20 | Reward: 4.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.9901
[Test 4] Epoch 2 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9804
[Test 4] Epoch 3 | LOSS | Score: -100 | Reward: -10.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9707
[Test 4] Epoch 4 | LOSS | Score: -100 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9612
[Test 4] Epoch 5 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9517
[Test 4] Epoch 6 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9423
[Test 4] Epoch 7 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9331
[Test 4] Epoch 8 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9239
[Test 4] Epoch 9 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9148
[Test 4] Epoch 10 | WIN | Score: 20 | Reward: 5.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.9058
[Test 4] Epoch 11 | WIN | Score: 20 | Reward: 5.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.8969
[Test 4] Epoch 12 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8881
[Test 4] Epoch 13 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8793
[Test 4] Epoch 14 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8707
[Test 4] Epoch 15 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8621
[Test 4] Epoch 16 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8536
[Test 4] Epoch 17 | WIN | Score: 40 | Reward: 8.70 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.8452
[Test 4] Epoch 18 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8369
[Test 4] Epoch 19 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8287
[Test 4] Epoch 20 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8205
[Test 4] Epoch 21 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8125
[Test 4] Epoch 22 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8045
[Test 4] Epoch 23 | LOSS | Score: -100 | Reward: -4.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7966
[Test 4] Epoch 24 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7888
[Test 4] Epoch 25 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7810
[Test 4] Epoch 26 | WIN | Score: 40 | Reward: 9.00 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.7733
[Test 4] Epoch 27 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7657
[Test 4] Epoch 28 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7582
[Test 4] Epoch 29 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7508
[Test 4] Epoch 30 | LOSS | Score: -125 | Reward: -11.30 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7434
[Test 4] Epoch 31 | LOSS | Score: -100 | Reward: -10.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7361
[Test 4] Epoch 32 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7289
[Test 4] Epoch 33 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7217
[Test 4] Epoch 34 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7147
[Test 4] Epoch 35 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7076
[Test 4] Epoch 36 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7007
[Test 4] Epoch 37 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6938
[Test 4] Epoch 38 | LOSS | Score: -100 | Reward: -10.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6870
[Test 4] Epoch 39 | WIN | Score: 70 | Reward: 10.30 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.6803
[Test 4] Epoch 40 | WIN | Score: 90 | Reward: 11.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 9 | Shots: 1 | Eps: 0.6736
[Test 4] Epoch 41 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6670
[Test 4] Epoch 42 | WIN | Score: 40 | Reward: 7.40 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.6605
[Test 4] Epoch 43 | WIN | Score: 20 | Reward: 5.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.6540
[Test 4] Epoch 44 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6476
[Test 4] Epoch 45 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6413
[Test 4] Epoch 46 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6350
[Test 4] Epoch 47 | LOSS | Score: -100 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6288
[Test 4] Epoch 48 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6226
[Test 4] Epoch 49 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6165
[Test 4] Epoch 50 | LOSS | Score: -100 | Reward: -10.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6105
[Test 4] Epoch 51 | WIN | Score: 70 | Reward: 10.00 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.6045
[Test 4] Epoch 52 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5986
[Test 4] Epoch 53 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5927
[Test 4] Epoch 54 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5869
[Test 4] Epoch 55 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5812
[Test 4] Epoch 56 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5755
[Test 4] Epoch 57 | LOSS | Score: -100 | Reward: -9.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5699
[Test 4] Epoch 58 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5643
[Test 4] Epoch 59 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5588
[Test 4] Epoch 60 | LOSS | Score: -125 | Reward: -11.30 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5533
[Test 4] Epoch 61 | WIN | Score: 50 | Reward: 9.80 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.5479
[Test 4] Epoch 62 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5426
[Test 4] Epoch 63 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5373
[Test 4] Epoch 64 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5320
[Test 4] Epoch 65 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5268
[Test 4] Epoch 66 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5217
[Test 4] Epoch 67 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5166
[Test 4] Epoch 68 | LOSS | Score: -100 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5116
[Test 4] Epoch 69 | WIN | Score: 10 | Reward: 6.40 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.5066
[Test 4] Epoch 70 | LOSS | Score: -125 | Reward: -12.30 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5016
[Test 4] Epoch 71 | WIN | Score: 70 | Reward: 11.00 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.4967
[Test 4] Epoch 72 | LOSS | Score: -100 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4919
[Test 4] Epoch 73 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4871
[Test 4] Epoch 74 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4823
[Test 4] Epoch 75 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4776
[Test 4] Epoch 76 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4730
[Test 4] Epoch 77 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4684
[Test 4] Epoch 78 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4638
[Test 4] Epoch 79 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4593
[Test 4] Epoch 80 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4548
[Test 4] Epoch 81 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4504
[Test 4] Epoch 82 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4460
[Test 4] Epoch 83 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4417
[Test 4] Epoch 84 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4374
[Test 4] Epoch 85 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4331
[Test 4] Epoch 86 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4289
