[Test 5] Epoch 0 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 1.0000
[Test 5] Epoch 1 | WIN | Score: 90 | Reward: 10.90 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 9 | Shots: 1 | Eps: 0.9901
[Test 5] Epoch 2 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9804
[Test 5] Epoch 3 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9707
[Test 5] Epoch 4 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9612
[Test 5] Epoch 5 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9517
[Test 5] Epoch 6 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9423
[Test 5] Epoch 7 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9331
[Test 5] Epoch 8 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9239
[Test 5] Epoch 9 | WIN | Score: 50 | Reward: 8.50 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.9148
[Test 5] Epoch 10 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9058
[Test 5] Epoch 11 | WIN | Score: 50 | Reward: 7.80 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.8969
