[Test 10] Epoch 0 | WIN | Score: 40 | Reward: 7.40 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 1.0000
[Test 10] Epoch 1 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9951
[Test 10] Epoch 2 | WIN | Score: 40 | Reward: 6.40 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.9901
[Test 10] Epoch 3 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9853
[Test 10] Epoch 4 | WIN | Score: 60 | Reward: 8.60 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.9804
[Test 10] Epoch 5 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9756
[Test 10] Epoch 6 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9707
[Test 10] Epoch 7 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9659
[Test 10] Epoch 8 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9612
[Test 10] Epoch 9 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9564
[Test 10] Epoch 10 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9517
[Test 10] Epoch 11 | WIN | Score: 50 | Reward: 8.80 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.9470
[Test 10] Epoch 12 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9423
[Test 10] Epoch 13 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9377
[Test 10] Epoch 14 | WIN | Score: 40 | Reward: 7.40 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.9331
[Test 10] Epoch 15 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9285
[Test 10] Epoch 16 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9239
[Test 10] Epoch 17 | WIN | Score: 50 | Reward: 8.80 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.9193
[Test 10] Epoch 18 | WIN | Score: 20 | Reward: 6.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.9148
[Test 10] Epoch 19 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9103
[Test 10] Epoch 20 | LOSS | Score: -100 | Reward: -5.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.9058
[Test 10] Epoch 21 | LOSS | Score: -125 | Reward: -11.30 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.9013
